name,price,qty,sku,condition,weight,memory_capacity,memory_card_brand,memory_speed
DDR2 FB-Dimm FBDimm Server PC2-6400F 800Mhz 4GB DRAM RAM Memory Moudle 240pin,85,0,osst-20111107033516,New & Unused,99,4GB,OEM,PC2-6400 / 800Mhz
DDR2 Server 4GB PC2-6400R 800Mhz ECC REG DRAM RAM Memory Moudle 240Pin,85,9,osst-20111107025157,New & Unused,99,4GB,OEM,PC2-6400 / 800Mhz
Elixir DDR1 1GB 1024MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin,35,59,osst-20110510071755,New & Unused,51,1GB,Elixir,PC-2100 / 266Mhz
Elixir DDR1 1GB 1024MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin,35,59,osst-20110510072006,New & Unused,51,1GB,Elixir,PC-2700 / 333MHz
Elixir DDR1 1GB 1024MB PC 3200S 400MHz Lodimm Desktop Memory DRAM 184pin,35,59,osst-20110510072128,New & Unused,51,1GB,Elixir,PC-3200 / 400MHz
Elixir DDR1 1GB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook,45,59,osst-20110510070554,New & Unused,51,1GB,Elixir,PC-2100 / 266Mhz
Elixir DDR1 1GB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook,45,59,osst-20110510022915,New & Unused,51,1GB,Elixir,PC-2700 / 333MHz
Elixir DDR1 1GB PC 3200S 400MHz Sodimm Laptop Memory DRAM 200pin Notebook,45,59,osst-20110510083955,New & Unused,51,1GB,Elixir,PC-3200 / 400MHz
Elixir DDR1 256MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin,9.5,59,osst-20110510070909,New & Unused,51,256MB,Elixir,PC-2100 / 266Mhz
Elixir DDR1 256MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook,9.5,59,osst-20110122045857,New & Unused,51,256MB,Elixir,PC-2100 / 266Mhz
Elixir DDR1 256MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin,9.5,59,osst-20110510071139,New & Unused,51,256MB,Elixir,PC-2700 / 333MHz
Elixir DDR1 256MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook,9.5,59,osst-20110122050105,New & Unused,51,256MB,Elixir,PC-2700 / 333MHz
Elixir DDR1 512MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin,18.5,59,osst-20110510071305,New & Unused,51,512MB,Elixir,PC-2100 / 266Mhz
Elixir DDR1 512MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook,18.5,59,osst-20110510021914,New & Unused,51,512MB,Elixir,PC-2100 / 266Mhz
Elixir DDR1 512MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin,18.5,59,osst-20110510071437,New & Unused,51,512MB,Elixir,PC-2700 / 333MHz
Elixir DDR1 512MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook,18.5,59,osst-20110510022124,New & Unused,51,512MB,Elixir,PC-2700 / 333MHz
Elixir DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110510075940,New & Unused,51,1GB,Elixir,PC2-4200 / 533MHz
Elixir DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110524030820,New & Unused,51,1GB,Elixir,PC2-4200 / 533MHz
Elixir DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110510080344,New & Unused,51,1GB,Elixir,PC2-5300 / 667MHz
Elixir DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110524030825,New & Unused,51,1GB,Elixir,PC2-5300 / 667MHz
